id;oras;adresa;cod_postal
1;however;neck woot afore;bravely behind powerfully
2;seriously;athwart woot;too longingly solemnly
3;capitalize;stake liberalize wherever;wholly unlike
4;rationalize;wherever quick regarding;gosh following
5;creative bah;apud drain loudly;thunderbolt misread ha
6;bemuse blowgun during;unlined;video after bracelet
7;insecure;phooey;blink
8;inasmuch ruin;nutritious afore;daintily militate
9;thunderbolt scrabble;coaxingly loosely;shallow
10;impostor vibration;slink beyond immaculate;scar make ugh
