id;ziua_saptamanii;ora_start;ora_final
1;LUNI;2025-07-31T08:00:00;2025-07-31T16:00:00
2;MARTI;2025-07-31T09:00:00;2025-07-31T17:30:00
3;MIERCURI;2025-08-01T07:30:00;2025-08-01T14:00:00
4;JOI;2025-07-31T12:00:00;2025-07-31T20:00:00
5;VINERI;2025-07-31T10:00:00;2025-07-31T18:00:00
6;LUNI;2025-08-01T08:00:00;2025-08-01T15:30:00
7;MARTI;2025-08-01T09:00:00;2025-08-01T17:00:00
8;MIERCURI;2025-08-01T07:00:00;2025-08-01T13:00:00
9;JOI;2025-07-31T11:00:00;2025-07-31T19:00:00
10;VINERI;2025-07-31T13:00:00;2025-07-31T20:00:00
